"School Year","Division Number","Division Name","School Number","School Name","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2019-2020","75","Prince William County","870","Forest Park High"," "," "," "," "," "," "," "," "," "," ","655","589","486","541","2,271","3","2,274"
"2019-2020","75","Prince William County","520","Fred M. Lynn Middle"," "," "," "," "," "," "," ","488","456","399"," "," "," "," ","1,343"," ","1,343"
"2019-2020","75","Prince William County","300","Freedom High"," "," "," "," "," "," "," "," "," "," ","633","554","486","563","2,236"," ","2,236"
"2019-2020","75","Prince William County","960","Gainesville Middle"," "," "," "," "," "," "," ","448","495","487"," "," "," "," ","1,430"," ","1,430"
"2019-2020","75","Prince William County","690","Gar-Field High","46"," "," "," "," "," "," "," "," "," ","666","589","510","646","2,457"," ","2,457"
"2019-2020","75","Prince William County","630","George G. Tyler Elementary","26","89","68","66","89","78","92"," "," "," "," "," "," "," ","508"," ","508"
"2019-2020","75","Prince William County","640","George M. Hampton Middle"," "," "," "," "," "," "," ","321","369","364"," "," "," "," ","1,054"," ","1,054"
"2019-2020","75","Prince William County","770","George P. Mullen Elementary","54","130","122","111","122","124","114"," "," "," "," "," "," "," ","777"," ","777"
"2019-2020","75","Prince William County","340","Glenkirk Elementary","14","92","116","120","127","123","158"," "," "," "," "," "," "," ","750"," ","750"
"2019-2020","75","Prince William County","510","Graham Park Middle"," "," "," "," "," "," "," ","345","332","321"," "," "," "," ","998"," ","998"
"2019-2020","75","Prince William County","250","Haymarket Elementary School","17","115","157","123","155","147","144"," "," "," "," "," "," "," ","858"," ","858"
"2019-2020","75","Prince William County","380","Herbert J. Saunders Middle"," "," "," "," "," "," "," ","387","447","389"," "," "," "," ","1,223"," ","1,223"
"2019-2020","75","Prince William County","220","J.W. Alvey Elementary","4","63","92","105","92","111","132"," "," "," "," "," "," "," ","599"," ","599"
"2019-2020","75","Prince William County","319","John D. Jenkins Elementary","53","87","85","83","97","113","81"," "," "," "," "," "," "," ","599"," ","599"
"2019-2020","75","Prince William County","130","John F. Pattie Sr. Elementary","166","99","105","132","122","123","130"," "," "," "," "," "," "," ","877"," ","877"
"2019-2020","75","Prince William County","70","Kerrydale Elementary","19","49","63","51","67","58","58"," "," "," "," "," "," "," ","365"," ","365"
"2019-2020","75","Prince William County","306","Kyle R. Wilson Elementary School","24","140","149","153","132","166","154"," "," "," "," "," "," "," ","918"," ","918"
"2019-2020","75","Prince William County","180","Lake Ridge Elementary","34","121","107","119","112","93","113"," "," "," "," "," "," "," ","699"," ","699"
"2019-2020","75","Prince William County","720","Lake Ridge Middle"," "," "," "," "," "," "," ","513","487","490"," "," "," "," ","1,490"," ","1,490"
"2019-2020","75","Prince William County","830","Leesylvania Elementary","21","130","97","111","128","99","144"," "," "," "," "," "," "," ","730"," ","730"
"2019-2020","75","Prince William County","460","Loch Lomond Elementary","34","103","74","88","99","78","106"," "," "," "," "," "," "," ","582"," ","582"
"2019-2020","75","Prince William County","880","Louise A. Benton Middle"," "," "," "," "," "," "," ","452","446","548"," "," "," "," ","1,446"," ","1,446"
"2019-2020","75","Prince William County","160","Martin Luther King Jr. Elementary","18","62","66","73","80","79","82"," "," "," "," "," "," "," ","460"," ","460"
"2019-2020","75","Prince William County","570","Marumsco Hills Elementary","18","102","91","100","93","93","98"," "," "," "," "," "," "," ","595"," ","595"
"2019-2020","75","Prince William County","231","Mary G. Porter Traditional"," "," ","83","82","86","85","84","92","86","87"," "," "," "," ","685"," ","685"
"2019-2020","75","Prince William County","240","Mary Williams Elementary","14","100","97","120","126","137","148"," "," "," "," "," "," "," ","742"," ","742"
"2019-2020","75","Prince William County","30","Minnieville Elementary","43","102","108","84","88","69","106"," "," "," "," "," "," "," ","600"," ","600"
"2019-2020","75","Prince William County","800","Montclair Elementary","2","110","117","118","115","104","106"," "," "," "," "," "," "," ","672"," ","672"
"2019-2020","75","Prince William County","810","Mountain View Elementary","14","61","78","96","96","103","92"," "," "," "," "," "," "," ","540"," ","540"
"2019-2020","75","Prince William County","700","Neabsco Elementary","27","100","100","114","124","114","123"," "," "," "," "," "," "," ","702"," ","702"
"2019-2020","75","Prince William County","260","Occoquan Elementary","2","99","113","117","105","103","99"," "," "," "," "," "," "," ","638"," ","638"
"2019-2020","75","Prince William County","820","Old Bridge Elementary"," ","64","86","91","85","94","94"," "," "," "," "," "," "," ","514"," ","514"
"2019-2020","75","Prince William County","80","Osbourn Park High"," "," "," "," "," "," "," "," "," "," ","744","690","585","554","2,573","4","2,577"
"2019-2020","75","Prince William County","501","Parkside Middle"," "," "," "," "," "," "," ","488","501","503"," "," "," "," ","1,492"," ","1,492"
"2019-2020","75","Prince William County","1060","Patriot High","16"," "," "," "," "," "," "," "," "," ","735","725","629","654","2,759","7","2,766"
"2019-2020","75","Prince William County","945","Pennington Elementary"," "," ","75","78","84","84","84","84","84","78"," "," "," "," ","651"," ","651"
"2019-2020","75","Prince William County","110","Piney Branch Elementary","16","118","123","129","136","140","130"," "," "," "," "," "," "," ","792"," ","792"
"2019-2020","75","Prince William County","140","Potomac High"," "," "," "," "," "," "," "," "," "," ","527","478","475","490","1,970","2","1,972"
"2019-2020","75","Prince William County","170","Potomac Middle"," "," "," "," "," "," "," ","388","429","446"," "," "," "," ","1,263"," ","1,263"
"2019-2020","75","Prince William County","550","Potomac View Elementary","37","104","85","93","91","75","91"," "," "," "," "," "," "," ","576"," ","576"
"2019-2020","75","Prince William County","440","R. Dean Kilby Elementary","77","113","107","95","87","96","92"," "," "," "," "," "," "," ","667"," ","667"
"2019-2020","75","Prince William County","591","Rippon Middle"," "," "," "," "," "," "," ","489","413","458"," "," "," "," ","1,360"," ","1,360"
"2019-2020","75","Prince William County","750","River Oaks Elementary","7","107","104","119","96","108","108"," "," "," "," "," "," "," ","649"," ","649"
"2019-2020","75","Prince William County","40","Rockledge Elementary"," ","81","86","96","78","85","106"," "," "," "," "," "," "," ","532"," ","532"
"2019-2020","75","Prince William County","310","Ronald Wilson Reagan Middle"," "," "," "," "," "," "," ","481","460","522"," "," "," "," ","1,463","1","1,464"
"2019-2020","75","Prince William County","941","Rosa Parks Elementary","21","91","126","88","116","107","151"," "," "," "," "," "," "," ","700"," ","700"
"2019-2020","75","Prince William County","360","Samuel L. Gravely Jr. Elementary","6","130","159","149","149","137","150"," "," "," "," "," "," "," ","880"," ","880"
"2019-2020","75","Prince William County","730","Sharon C. McAuliffe Elementary"," ","70","70","65","74","76","85"," "," "," "," "," "," "," ","440"," ","440"
"2019-2020","75","Prince William County","500","Signal Hill Elementary","37","105","107","116","108","126","131"," "," "," "," "," "," "," ","730"," ","730"
"2019-2020","75","Prince William County","850","Sonnie Penn Elementary","11","107","118","105","103","111","116"," "," "," "," "," "," "," ","671"," ","671"
"2019-2020","75","Prince William County","320","Springwoods Elementary","5","137","117","139","126","139","137"," "," "," "," "," "," "," ","800"," ","800"
"2019-2020","75","Prince William County","680","Stonewall Jackson High"," "," "," "," "," "," "," "," "," "," ","799","677","592","631","2,699"," ","2,699"
"2019-2020","75","Prince William County","480","Stonewall Middle"," "," "," "," "," "," "," ","365","404","389"," "," "," "," ","1,158"," ","1,158"
"2019-2020","75","Prince William County","780","Stuart M. Beville Middle"," "," "," "," "," "," "," ","321","375","383"," "," "," "," ","1,079"," ","1,079"
"2019-2020","75","Prince William County","20","Sudley Elementary","1","111","109","107","100","102","143"," "," "," "," "," "," "," ","673"," ","673"
"2019-2020","75","Prince William County","270","Suella G. Ellis Elementary","17","77","74","76","92","87","101"," "," "," "," "," "," "," ","524"," ","524"
"2019-2020","75","Prince William County","890","Swans Creek Elementary","18","102","116","107","90","124","90"," "," "," "," "," "," "," ","647"," ","647"
"2019-2020","75","Prince William County","470","T. Clay Wood Elementary","3","137","137","153","157","161","167"," "," "," "," "," "," "," ","915"," ","915"
"2019-2020","75","Prince William County","150","The Nokesville School","3","106","102","126","116","108","112","110","135","134"," "," "," "," ","1,052"," ","1,052"
"2019-2020","75","Prince William County","790","Thurgood Marshall Elementary","1","97","105","131","123","127","119"," "," "," "," "," "," "," ","703"," ","703"
"2019-2020","75","Prince William County","430","Triangle Elementary","20","113","133","133","128","137","126"," "," "," "," "," "," "," ","790"," ","790"
"2019-2020","75","Prince William County","390","Victory Elementary","45","102","114","133","97","107","108"," "," "," "," "," "," "," ","706"," ","706"
"2019-2020","75","Prince William County","540","West Gate Elementary","46","105","95","93","72","87","86"," "," "," "," "," "," "," ","584"," ","584"
"2019-2020","75","Prince William County","740","Westridge Elementary","1","112","110","130","101","125","117"," "," "," "," "," "," "," ","696"," ","696"
"2019-2020","75","Prince William County","190","Woodbine Pre-School Center","119"," "," "," "," "," "," "," "," "," "," "," "," "," ","119"," ","119"
"2019-2020","75","Prince William County","60","Woodbridge High"," "," "," "," "," "," "," "," "," "," ","725","757","656","644","2,782","2","2,784"
"2019-2020","75","Prince William County","560","Woodbridge Middle"," "," "," "," "," "," "," ","411","416","444"," "," "," "," ","1,271"," ","1,271"
"2019-2020","75","Prince William County","350","Yorkshire Elementary","60","125","116","132","133","122","126"," "," "," "," "," "," "," ","814"," ","814"
"2019-2020","77","Pulaski County","20","Critzer Elementary","35","73","62","62","58","63","62"," "," "," "," "," "," "," ","415"," ","415"
"2019-2020","77","Pulaski County","540","Dublin Elementary","35","85","71","77","63","70","79"," "," "," "," "," "," "," ","480"," ","480"
"2019-2020","77","Pulaski County","530","Dublin Middle"," "," "," "," "," "," "," ","176","158","167"," "," "," "," ","501"," ","501"
"2019-2020","77","Pulaski County","10","Pulaski County Senior High"," "," "," "," "," "," "," "," "," "," ","344","320","283","253","1,200"," ","1,200"
"2019-2020","77","Pulaski County","230","Pulaski Elementary","37","90","97","77","74","88","86"," "," "," "," "," "," "," ","549"," ","549"
"2019-2020","77","Pulaski County","460","Pulaski Middle"," "," "," "," "," "," "," ","155","146","123"," "," "," "," ","424"," ","424"
"2019-2020","77","Pulaski County","500","Riverlawn Elementary","35","50","74","61","49","60","53"," "," "," "," "," "," "," ","382"," ","382"
"2019-2020","77","Pulaski County","430","Snowville Elementary","16","21","23","25","18","21","21"," "," "," "," "," "," "," ","145"," ","145"
"2019-2020","122","Radford City","10","Belle Heth Elementary"," "," "," "," ","117","101","126","120"," "," "," "," "," "," ","464"," ","464"
"2019-2020","122","Radford City","42","John N. Dalton Intermediate"," "," "," "," "," "," "," "," ","141","135"," "," "," "," ","276"," ","276"
"2019-2020","122","Radford City","20","McHarg Elementary","45","124","116","120"," "," "," "," "," "," "," "," "," "," ","405"," ","405"
"2019-2020","122","Radford City","41","Radford High"," "," "," "," "," "," "," "," "," "," ","131","128","114","124","497"," ","497"
"2019-2020","78","Rappahannock County","240","Rappahannock County Elementary","22","51","51","49","62","64","55","61","65"," "," "," "," "," ","480"," ","480"
"2019-2020","78","Rappahannock County","230","Rappahannock County High"," "," "," "," "," "," "," "," "," ","64","51","73","58","65","311"," ","311"
"2019-2020","123","Richmond City","30","Albert Hill Middle"," "," "," "," "," "," "," ","156","212","151"," "," "," "," ","519"," ","519"
"2019-2020","123","Richmond City","750","Amelia Street Special Education"," "," ","2","3","7","5","5","6","1","4","4","1","2","4","44"," ","44"
"2019-2020","123","Richmond City","850","Armstrong High"," "," "," "," "," "," "," "," "," "," ","227","220","169","172","788"," ","788"
"2019-2020","123","Richmond City","390","Barack Obama Elementary"," ","58","58","51","51","58","47"," "," "," "," "," "," "," ","323"," ","323"
"2019-2020","123","Richmond City","100","Bellevue Elementary","40","26","36","39","41","35","29"," "," "," "," "," "," "," ","246"," ","246"
"2019-2020","123","Richmond City","50","Binford Middle"," "," "," "," "," "," "," ","153","152","149"," "," "," "," ","454"," ","454"
"2019-2020","123","Richmond City","170","Blackwell Elementary"," ","56","59","75","59","51","69"," "," "," "," "," "," "," ","369"," ","369"
"2019-2020","123","Richmond City","1100","Broad Rock Elementary","3","150","161","141","160","146","148"," "," "," "," "," "," "," ","909"," ","909"
"2019-2020","123","Richmond City","830","Chimborazo Elementary","36","65","69","57","60","48","52"," "," "," "," "," "," "," ","387"," ","387"
"2019-2020","123","Richmond City","1440","E.S.H. Greene Elementary"," ","113","130","147","124","107","118"," "," "," "," "," "," "," ","739"," ","739"
"2019-2020","123","Richmond City","1400","Elizabeth D. Redd Elementary"," ","60","69","66","74","75","65"," "," "," "," "," "," "," ","409"," ","409"
"2019-2020","123","Richmond City","1631","Elkhardt Thompson Middle"," "," "," "," "," "," "," ","330","290","263"," "," "," "," ","883"," ","883"
"2019-2020","123","Richmond City","710","Fairfield Court Elementary"," ","64","89","66","81","50","65"," "," "," "," "," "," "," ","415"," ","415"
"2019-2020","123","Richmond City","621","Franklin Military Academy"," "," "," "," "," "," "," ","63","73","47","55","42","34","49","363"," ","363"
"2019-2020","123","Richmond City","1470","G.H. Reid Elementary","4","123","129","122","102","114","106"," "," "," "," "," "," "," ","700"," ","700"
"2019-2020","123","Richmond City","290","George Mason Elementary"," ","66","115","133","233","216","217"," "," "," "," "," "," "," ","980"," ","980"
"2019-2020","123","Richmond City","311","George W. Carver Elementary"," ","76","60","74","63","72","65"," "," "," "," "," "," "," ","410"," ","410"
"2019-2020","123","Richmond City","741","George Wythe High"," "," "," "," "," "," "," "," "," "," ","450","298","200","185","1,133"," ","1,133"
"2019-2020","123","Richmond City","230","Ginter Park Elementary"," ","46","43","54","49","58","49"," "," "," "," "," "," "," ","299"," ","299"
"2019-2020","123","Richmond City","470","Henderson Middle"," "," "," "," "," "," "," ","128","136","118"," "," "," "," ","382"," ","382"
"2019-2020","123","Richmond City","1510","Huguenot High"," "," "," "," "," "," "," "," "," "," ","404","327","297","255","1,283","1","1,284"
"2019-2020","123","Richmond City","1640","J.B. Fisher Elementary","16","51","48","48","35","48","47"," "," "," "," "," "," "," ","293"," ","293"
"2019-2020","123","Richmond City","1710","J.L. Francis Elementary"," ","107","100","99","92","90","96"," "," "," "," "," "," "," ","584"," ","584"
"2019-2020","123","Richmond City","600","John B. Cary Elementary"," ","36","43","52","33","55","56"," "," "," "," "," "," "," ","275"," ","275"
"2019-2020","123","Richmond City","730","John Marshall High"," "," "," "," "," "," "," "," "," "," ","162","142","143","137","584"," ","584"
"2019-2020","123","Richmond City","3106","Linwood Holton Elementary","17","95","105","107","88","76","88"," "," "," "," "," "," "," ","576"," ","576"
"2019-2020","123","Richmond City","3105","Lucille M. Brown Middle"," "," "," "," "," "," "," ","315","284","249"," "," "," "," ","848"," ","848"
"2019-2020","123","Richmond City","771","Martin Luther King Jr. Early Learning Center","220"," "," "," "," "," "," "," "," "," "," "," "," "," ","220"," ","220"
"2019-2020","123","Richmond City","770","Martin Luther King Jr. Middle"," "," "," "," "," "," "," ","228","236","167"," "," "," "," ","631"," ","631"
"2019-2020","123","Richmond City","580","Mary Munford Elementary"," ","91","84","104","76","86","63"," "," "," "," "," "," "," ","504"," ","504"
"2019-2020","123","Richmond City","690","Maymont Pre-K Center","996"," "," "," "," "," "," "," "," "," "," "," "," "," ","996"," ","996"
"2019-2020","123","Richmond City","3107","Miles Jones Elementary","7","99","104","109","115","136","106"," "," "," "," "," "," "," ","676"," ","676"
"2019-2020","123","Richmond City","330","Oak Grove/Bellemeade Elementary","59","104","116","109","104","97","94"," "," "," "," "," "," "," ","683"," ","683"
"2019-2020","123","Richmond City","90","Open High"," "," "," "," "," "," "," "," "," "," ","47","46","52","48","193"," ","193"
"2019-2020","123","Richmond City","130","Overby-Sheppard Elementary","15","52","65","48","58","63","52"," "," "," "," "," "," "," ","353"," ","353"
"2019-2020","123","Richmond City","3119","Patrick Henry School Of Science And Arts"," ","59","75","58","63","52","40"," "," "," "," "," "," "," ","347"," ","347"
"2019-2020","123","Richmond City","3110","Richmond Alternative School"," "," "," "," "," "," "," ","221","309","335","226","196","149","63","1,499"," ","1,499"
"2019-2020","123","Richmond City","3200","Richmond Career Education and Employment (Charter School)"," "," "," "," "," "," "," "," "," "," ","6","6","5","17","34"," ","34"
"2019-2020","123","Richmond City","452","Richmond Community High"," "," "," "," "," "," "," "," "," "," ","51","59","62","55","227"," ","227"
"2019-2020","123","Richmond City","1480","Southampton Elementary","40","77","58","61","62","68","54"," "," "," "," "," "," "," ","420"," ","420"
"2019-2020","123","Richmond City","511","Summer Hill Preschool Center","213"," "," "," "," "," "," "," "," "," "," "," "," "," ","213"," ","213"
"2019-2020","123","Richmond City","210","Swansboro Elementary","1","23","31","48","29","30","33"," "," "," "," "," "," "," ","195"," ","195"
"2019-2020","123","Richmond City","480","Thomas C. Boushall Middle"," "," "," "," "," "," "," ","300","266","239"," "," "," "," ","805"," ","805"
"2019-2020","123","Richmond City","20","Thomas Jefferson High"," "," "," "," "," "," "," "," "," "," ","229","229","199","154","811"," ","811"
"2019-2020","123","Richmond City","660","Westover Hills Elementary"," ","60","71","66","73","62","60"," "," "," "," "," "," "," ","392"," ","392"
"2019-2020","123","Richmond City","200","William Fox Elementary"," ","76","69","79","75","76","63"," "," "," "," "," "," "," ","438"," ","438"
"2019-2020","123","Richmond City","650","Woodville Elementary"," ","64","63","67","62","61","62"," "," "," "," "," "," "," ","379"," ","379"
"2019-2020","79","Richmond County","210","Rappahannock High"," "," "," "," "," "," "," "," "," ","96","96","105","89","99","485"," ","485"
"2019-2020","79","Richmond County","20","Richmond County Elementary","44","81","90","90","104","87","97","115","108"," "," "," "," "," ","816"," ","816"
"2019-2020","124","Roanoke City","280","Addison Aerospace Magnet Middle"," "," "," "," "," "," "," ","248","216","186"," "," "," "," ","650"," ","650"
"2019-2020","124","Roanoke City","210","Breckinridge Middle"," "," "," "," "," "," "," ","235","247","228"," "," "," "," ","710"," ","710"
"2019-2020","124","Roanoke City","20","Crystal Spring Elementary","18","59","58","53","66","55","49"," "," "," "," "," "," "," ","358"," ","358"
"2019-2020","124","Roanoke City","410","Fairview Elementary","17","77","87","88","93","91","102"," "," "," "," "," "," "," ","555"," ","555"
"2019-2020","124","Roanoke City","50","Fallon Park Elementary","51","93","97","96","86","96","89"," "," "," "," "," "," "," ","608"," ","608"
"2019-2020","124","Roanoke City","380","Fishburn Park Elementary","70","41","38","42","31","35","42"," "," "," "," "," "," "," ","299"," ","299"
"2019-2020","124","Roanoke City","300","Garden City Elementary","22","56","55","48","40","45","30"," "," "," "," "," "," "," ","296"," ","296"
"2019-2020","124","Roanoke City","310","Grandin Court Elementary"," ","69","73","57","53","47","41"," "," "," "," "," "," "," ","340"," ","340"
"2019-2020","124","Roanoke City","110","Highland Park Elementary","18","45","45","46","82","69","62"," "," "," "," "," "," "," ","367"," ","367"
"2019-2020","124","Roanoke City","420","Hurt Park Elementary","36","56","65","50","55","54","59"," "," "," "," "," "," "," ","375"," ","375"
"2019-2020","124","Roanoke City","450","James Madison Middle"," "," "," "," "," "," "," ","228","198","189"," "," "," "," ","615","1","616"
"2019-2020","124","Roanoke City","230","John P. Fishwick Middle"," "," "," "," "," "," "," ","172","189","171"," "," "," "," ","532"," ","532"
"2019-2020","124","Roanoke City","340","Lincoln Terrace Elementary","18","62","53","53","47","47","49"," "," "," "," "," "," "," ","329"," ","329"
"2019-2020","124","Roanoke City","370","Monterey Elementary"," ","99","83","91","85","66","102"," "," "," "," "," "," "," ","526"," ","526"
"2019-2020","124","Roanoke City","60","Morningside Elementary","35","35","37","36","38","27","36"," "," "," "," "," "," "," ","244"," ","244"
"2019-2020","124","Roanoke City","390","Patrick Henry High"," "," "," "," "," "," "," "," "," "," ","574","508","457","468","2,007"," ","2,007"
"2019-2020","124","Roanoke City","240","Preston Park Elementary","18","71","91","85","72","79","82"," "," "," "," "," "," "," ","498"," ","498"
"2019-2020","124","Roanoke City","220","Roanoke Academy For Mathematics & Science Elementary","106","55","50","48","39","55","57"," "," "," "," "," "," "," ","410","7","417"
"2019-2020","124","Roanoke City","320","Round Hill Elementary","94","110","113","115","102","110","71"," "," "," "," "," "," "," ","715"," ","715"
"2019-2020","124","Roanoke City","70","Virginia Heights Elementary","1","59","50","61","48","50","47"," "," "," "," "," "," "," ","316"," ","316"
"2019-2020","124","Roanoke City","90","Wasena Elementary","18","43","46","31","42","31","27"," "," "," "," "," "," "," ","238"," ","238"
"2019-2020","124","Roanoke City","350","Westside Elementary","36","116","114","128","105","107","110"," "," "," "," "," "," "," ","716","1","717"
"2019-2020","124","Roanoke City","400","William Fleming High"," "," "," "," "," "," "," "," "," "," ","515","454","396","313","1,678","1","1,679"
"2019-2020","124","Roanoke City","150","Woodrow Wilson Middle"," "," "," "," "," "," "," ","245","217","195"," "," "," "," ","657"," ","657"
"2019-2020","80","Roanoke County","420","Back Creek Elementary","11","43","53","48","41","54","51"," "," "," "," "," "," "," ","301"," ","301"
"2019-2020","80","Roanoke County","752","Bonsack Elementary","16","43","65","52","60","63","58"," "," "," "," "," "," "," ","357"," ","357"
"2019-2020","80","Roanoke County","180","Burlington Elementary","28","71","74","62","63","84","78"," "," "," "," "," "," "," ","460"," ","460"
"2019-2020","80","Roanoke County","560","Cave Spring Elementary","25","75","80","74","85","87","89"," "," "," "," "," "," "," ","515"," ","515"
"2019-2020","80","Roanoke County","470","Cave Spring High"," "," "," "," "," "," "," "," "," "," ","260","239","237","250","986"," ","986"
"2019-2020","80","Roanoke County","620","Cave Spring Middle"," "," "," "," "," "," "," ","261","255","263"," "," "," "," ","779"," ","779"
"2019-2020","80","Roanoke County","330","Clearbrook Elementary","12","54","53","54","53","58","60"," "," "," "," "," "," "," ","344"," ","344"
"2019-2020","80","Roanoke County","40","Fort Lewis Elementary","13","29","42","29","47","45","44"," "," "," "," "," "," "," ","249"," ","249"
"2019-2020","80","Roanoke County","650","Glen Cove Elementary","14","68","63","72","72","76","67"," "," "," "," "," "," "," ","432"," ","432"
"2019-2020","80","Roanoke County","490","Glenvar Elementary","14","56","61","44","54","68","56"," "," "," "," "," "," "," ","353"," ","353"
"2019-2020","80","Roanoke County","610","Glenvar High"," "," "," "," "," "," "," "," "," "," ","186","147","164","147","644"," ","644"
"2019-2020","80","Roanoke County","751","Glenvar Middle"," "," "," "," "," "," "," ","152","151","141"," "," "," "," ","444"," ","444"
"2019-2020","80","Roanoke County","600","Green Valley Elementary","23","77","85","91","88","91","93"," "," "," "," "," "," "," ","548"," ","548"
"2019-2020","80","Roanoke County","540","Herman L. Horn Elementary","26","72","82","60","67","70","60"," "," "," "," "," "," "," ","437"," ","437"
"2019-2020","80","Roanoke County","754","Hidden Valley High"," "," "," "," "," "," "," "," "," "," ","195","202","195","222","814"," ","814"
"2019-2020","80","Roanoke County","10","Hidden Valley Middle"," "," "," "," "," "," "," ","186","214","199"," "," "," "," ","599"," ","599"
"2019-2020","80","Roanoke County","530","Mason's Cove Elementary","16","35","32","36","25","34","34"," "," "," "," "," "," "," ","212"," ","212"
"2019-2020","80","Roanoke County","290","Mount Pleasant Elementary","20","34","49","44","43","59","60"," "," "," "," "," "," "," ","309"," ","309"
"2019-2020","80","Roanoke County","500","Mountain View Elementary","15","45","50","50","50","44","63"," "," "," "," "," "," "," ","317"," ","317"
"2019-2020","80","Roanoke County","520","Northside High"," "," "," "," "," "," "," "," "," "," ","240","212","214","234","900"," ","900"
"2019-2020","80","Roanoke County","640","Northside Middle"," "," "," "," "," "," "," ","219","228","246"," "," "," "," ","693"," ","693"
"2019-2020","80","Roanoke County","480","Oak Grove Elementary","17","65","68","65","63","57","78"," "," "," "," "," "," "," ","413"," ","413"
"2019-2020","80","Roanoke County","50","Penn Forest Elementary","19","62","76","64","83","70","72"," "," "," "," "," "," "," ","446"," ","446"
"2019-2020","80","Roanoke County","60","W.E. Cundiff Elementary","35","77","76","68","85","84","86"," "," "," "," "," "," "," ","511"," ","511"
"2019-2020","80","Roanoke County","630","William Byrd High"," "," "," "," "," "," "," "," "," "," ","287","290","245","260","1,082"," ","1,082"
"2019-2020","80","Roanoke County","232","William Byrd Middle"," "," "," "," "," "," "," ","298","268","288"," "," "," "," ","854"," ","854"
"2019-2020","81","Rockbridge County","650","Central Elementary","36","75","83","67","75","88","95"," "," "," "," "," "," "," ","519"," ","519"
"2019-2020","81","Rockbridge County","150","Fairfield Elementary","18","43","45","50","36","38","38"," "," "," "," "," "," "," ","268"," ","268"
"2019-2020","81","Rockbridge County","678","Maury River Middle School"," "," "," "," "," "," "," ","220","234","208"," "," "," "," ","662"," ","662"
"2019-2020","81","Rockbridge County","340","Mountain View Elementary"," ","22","20","19","20","19","23"," "," "," "," "," "," "," ","123"," ","123"
"2019-2020","81","Rockbridge County","641","Natural Bridge Elementary","18","43","44","38","34","32","35"," "," "," "," "," "," "," ","244"," ","244"
"2019-2020","81","Rockbridge County","22","Rockbridge County High"," "," "," "," "," "," "," "," "," "," ","278","262","256","207","1,003"," ","1,003"
"2019-2020","82","Rockingham County","870","Broadway High"," "," "," "," "," "," "," "," "," "," ","260","274","226","229","989","4","993"
"2019-2020","82","Rockingham County","861","Cub Run Elementary","45","96","113","106","105","93","124"," "," "," "," "," "," "," ","682"," ","682"
"2019-2020","82","Rockingham County","391","East Rockingham High"," "," "," "," "," "," "," "," "," "," ","164","169","160","188","681","4","685"
"2019-2020","82","Rockingham County","400","Elkton Elementary","35","50","53","49","49","66","53"," "," "," "," "," "," "," ","355"," ","355"
"2019-2020","82","Rockingham County","900","Elkton Middle"," "," "," "," "," "," "," ","164","169","163"," "," "," "," ","496"," ","496"
"2019-2020","82","Rockingham County","940","Fulks Run Elementary","11","39","18","24","26","26","21"," "," "," "," "," "," "," ","165"," ","165"
"2019-2020","82","Rockingham County","960","J. Frank Hillyard Middle"," "," "," "," "," "," "," ","220","230","248"," "," "," "," ","698"," ","698"
"2019-2020","82","Rockingham County","1071","John C. Myers Elementary","40","77","73","83","76","71","80"," "," "," "," "," "," "," ","500"," ","500"
"2019-2020","82","Rockingham County","970","John W. Wayland Elementary","27","96","84","113","103","81","107"," "," "," "," "," "," "," ","611"," ","611"
"2019-2020","82","Rockingham County","500","Lacey Spring Elementary","21","34","33","32","35","40","32"," "," "," "," "," "," "," ","227"," ","227"
"2019-2020","82","Rockingham County","360","Linville-Edom Elementary","20","39","28","24","42","30","37"," "," "," "," "," "," "," ","220"," ","220"
"2019-2020","82","Rockingham County","600","McGaheysville Elementary","16","33","36","40","36","55","44"," "," "," "," "," "," "," ","260"," ","260"
"2019-2020","82","Rockingham County","860","Montevideo Middle"," "," "," "," "," "," "," ","235","254","256"," "," "," "," ","745"," ","745"
"2019-2020","82","Rockingham County","520","Mountain View Elementary","42","76","70","67","74","83","80"," "," "," "," "," "," "," ","492"," ","492"
"2019-2020","82","Rockingham County","920","Ottobine Elementary","18","36","23","24","25","30","40"," "," "," "," "," "," "," ","196"," ","196"
"2019-2020","82","Rockingham County","1073","Peak View Elementary","18","84","81","77","60","91","82"," "," "," "," "," "," "," ","493"," ","493"
"2019-2020","82","Rockingham County","10","Plains Elementary","39","66","72","52","68","61","72"," "," "," "," "," "," "," ","430"," ","430"
"2019-2020","82","Rockingham County","950","Pleasant Valley Elementary","26","41","29","35","25","34","32"," "," "," "," "," "," "," ","222"," ","222"
"2019-2020","82","Rockingham County","390","River Bend Elementary","39","57","52","64","67","58","53"," "," "," "," "," "," "," ","390"," ","390"
"2019-2020","82","Rockingham County","830","South River Elementary","20","39","42","55","41","43","56"," "," "," "," "," "," "," ","296"," ","296"
"2019-2020","82","Rockingham County","20","Spotswood High"," "," "," "," "," "," "," "," "," "," ","265","244","242","250","1,001","3","1,004"
"2019-2020","82","Rockingham County","850","Turner Ashby High"," "," "," "," "," "," "," "," "," "," ","259","262","234","240","995","6","1,001"
